dt64,OBJECT_ID,coverage,date,ice_off_prob,ice_on_prob,lic,sensor
2002-09-12 09:58:37,IW35016644,0.9688900544528166,2002-09-12T09:58:37,0.998206070042567,,0.0,Landsat-7
2002-09-28 09:58:28,IW35016644,0.5949829058381205,2002-09-28T09:58:28,0.997180231300559,,0.0,Landsat-7
2002-12-01 09:58:58,IW35016644,0.9817920152737968,2002-12-01T09:58:58,0.9843934283765364,0.7462328001829422,1.7601501994836892,Landsat-7
2002-12-10 09:52:46,IW35016644,0.9811505024883114,2002-12-10T09:52:46,0.9481366993337264,0.776844497954653,4.814466885861908,Landsat-7
2003-01-11 09:52:55,IW35016644,0.978845665815011,2003-01-11T09:52:55,,0.8518186568852716,100.0,Landsat-7
2003-01-18 09:59:11,IW35016644,0.9665934196784074,2003-01-18T09:59:11,0.6917076321439622,0.8482878570012585,99.28554417718505,Landsat-7
2003-02-19 09:59:23,IW35016644,0.9748060438880328,2003-02-19T09:59:23,,0.9989935561347538,100.0,Landsat-7
2003-02-28 09:53:13,IW35016644,0.9804734686037476,2003-02-28T09:53:13,0.5899348305149846,0.9936205407496352,99.62485345838218,Landsat-7
2003-03-07 09:59:27,IW35016644,0.9598364393294072,2003-03-07T09:59:27,0.6054857093520263,0.9384980787109888,99.83217453847998,Landsat-7
2003-03-16 09:53:15,IW35016644,0.8576997380677568,2003-03-16T09:53:15,0.5903077957558471,0.9983103080645126,99.9730603448276,Landsat-7
2003-03-23 09:59:22,IW35016644,0.9789722025837332,2003-03-23T09:59:22,0.6658412732772383,0.9720381352328222,99.20169053768493,Landsat-7
2003-04-01 09:53:16,IW35016644,0.9825936833228368,2003-04-01T09:53:16,0.741483017147205,0.930046295822012,95.67352666043033,Landsat-7
2003-04-08 09:59:29,IW35016644,0.6056910963804525,2003-04-08T09:59:29,0.6479000440814527,0.9361288405395174,99.12414318354912,Landsat-7
2003-04-17 09:53:17,IW35016644,0.6239660075865798,2003-04-17T09:53:17,0.7619829499999846,0.9105607980098918,82.87822878228782,Landsat-7
2003-05-19 09:53:13,IW35016644,0.3487078883158429,2003-05-19T09:53:13,0.9990881550366654,,0.0,Landsat-7
2003-07-22 09:53:04,IW35016644,0.6454762702907791,2003-07-22T09:53:04,0.9999010122789168,,0.0,Landsat-7
2003-11-02 09:59:07,IW35016644,0.6390441780566388,2003-11-02T09:59:07,0.9889879674936076,0.6805715726509255,0.1080691642651296,Landsat-7
2003-11-11 09:53:03,IW35016644,0.6393486368703399,2003-11-11T09:53:03,0.9947561698833888,0.7488687474024888,0.0,Landsat-7
2003-12-04 09:59:24,IW35016644,0.7266376150464955,2003-12-04T09:59:24,0.9831545366255589,0.6690257662717574,0.316055625790139,Landsat-7
2003-12-20 09:59:33,IW35016644,0.7260947196961182,2003-12-20T09:59:33,0.9618653189574108,0.7294389182390647,1.3316423589093214,Landsat-7
2004-01-30 09:53:37,IW35016644,0.5581825984733952,2004-01-30T09:53:37,,0.9985596228203808,100.0,Landsat-7
2004-03-18 09:53:48,IW35016644,0.6430139128829758,2004-03-18T09:53:48,0.724940802106667,0.9927459148219884,99.53254225098884,Landsat-7
2004-04-26 09:59:52,IW35016644,0.6619346069661148,2004-04-26T09:59:52,0.8010141435843977,0.9282106602033248,91.07080572026508,Landsat-7
2004-06-29 09:59:44,IW35016644,0.7083339554664608,2004-06-29T09:59:44,0.9998458112041916,,0.0,Landsat-7
2004-07-31 09:59:33,IW35016644,0.728992539761851,2004-07-31T09:59:33,0.9999501606447472,,0.0,Landsat-7
2004-09-01 09:59:27,IW35016644,0.7288188084360866,2004-09-01T09:59:27,0.9999446077735856,,0.0,Landsat-7
2004-09-17 09:59:21,IW35016644,0.7160203960688892,2004-09-17T09:59:21,0.9998607679520836,,0.0,Landsat-7
2004-12-06 09:59:52,IW35016644,0.7512057632686246,2004-12-06T09:59:52,0.9653035051331892,0.6977432502218529,0.9199632014719412,Landsat-7
2004-12-22 09:59:59,IW35016644,0.7229362245288076,2004-12-22T09:59:59,0.8351786540405827,0.7453091789837804,29.06828334396937,Landsat-7
2004-12-31 09:53:53,IW35016644,0.6281199392496386,2004-12-31T09:53:53,0.8960868925704456,0.9219737921550902,50.293685756240826,Landsat-7
2005-01-07 10:00:06,IW35016644,0.689415310201566,2005-01-07T10:00:06,0.5902789072077999,0.8502342850019406,96.9033995287782,Landsat-7
2005-01-16 09:53:56,IW35016644,0.619969987217114,2005-01-16T09:53:56,0.6416554296068147,0.8770525450352745,99.4060876020787,Landsat-7
2005-02-08 10:00:16,IW35016644,0.7332220211296496,2005-02-08T10:00:16,,0.998514667598993,100.0,Landsat-7
2005-04-22 09:54:04,IW35016644,0.5697481498682373,2005-04-22T09:54:04,0.8328732340506194,0.7822065104748094,90.39160274525636,Landsat-7
2005-05-08 09:54:09,IW35016644,0.4231557614132721,2005-05-08T09:54:09,0.9961212547140984,,0.0,Landsat-7
2005-05-31 10:00:17,IW35016644,0.715518372151035,2005-05-31T10:00:17,0.99987063727983,,0.0,Landsat-7
2005-08-12 09:53:53,IW35016644,0.656226073062023,2005-08-12T09:53:53,0.9999506146004346,,0.0,Landsat-7
2005-09-04 09:59:53,IW35016644,0.3599966748109514,2005-09-04T09:59:53,0.9999429541621913,,0.0,Landsat-7
2005-10-15 09:53:40,IW35016644,0.6219142978410208,2005-10-15T09:53:40,0.9978830787821842,,0.0,Landsat-7
2005-10-31 09:53:53,IW35016644,0.6567605495192044,2005-10-31T09:53:53,0.9699460840395115,,0.0,Landsat-7
2005-11-07 10:00:08,IW35016644,0.7395387652909695,2005-11-07T10:00:08,0.9986897453101076,,0.0,Landsat-7
2005-11-16 09:54:02,IW35016644,0.5032244001812176,2005-11-16T09:54:02,0.9978402632003766,,0.0,Landsat-7
2005-11-23 10:00:16,IW35016644,0.7208688004302797,2005-11-23T10:00:16,0.9944830732160782,0.7166564432723334,0.0959385992964502,Landsat-7
2006-01-10 10:00:33,IW35016644,0.7104752775992996,2006-01-10T10:00:33,,0.9980269554349928,100.0,Landsat-7
2006-02-04 09:54:33,IW35016644,0.6449804111991037,2006-02-04T09:54:33,,0.998544577970242,100.0,Landsat-7
2006-02-11 10:00:46,IW35016644,0.7385090200583087,2006-02-11T10:00:46,,0.9989016349668968,100.0,Landsat-7
2006-06-12 09:54:33,IW35016644,0.6437187550840192,2006-06-12T09:54:33,0.999941820150786,,0.0,Landsat-7
2006-07-21 10:00:27,IW35016644,0.716645357563769,2006-07-21T10:00:27,0.9999357158380502,,0.0,Landsat-7
2006-10-09 10:00:05,IW35016644,0.7306894684006945,2006-10-09T10:00:05,0.9998506207021468,,0.0,Landsat-7
2006-10-18 09:54:04,IW35016644,0.6114120425901816,2006-10-18T09:54:04,0.9900012410538545,,0.0,Landsat-7
2006-10-25 10:00:22,IW35016644,0.7309814415079835,2006-10-25T10:00:22,0.971879371218902,,0.0,Landsat-7
2006-11-10 10:00:36,IW35016644,0.7148517678227213,2006-11-10T10:00:36,0.9971218785127768,,0.0,Landsat-7
2006-11-26 10:00:46,IW35016644,0.6961986099358385,2006-11-26T10:00:46,0.9969487953361668,,0.0,Landsat-7
2006-12-21 09:54:44,IW35016644,0.6591151097055842,2006-12-21T09:54:44,0.981133560090344,0.7410002325402879,1.8473335657023355,Landsat-7
2007-03-11 09:55:03,IW35016644,0.6750336501460954,2007-03-11T09:55:03,0.5865137452504606,0.9948801540081796,99.96581196581197,Landsat-7
2007-03-18 10:01:15,IW35016644,0.7057330881879803,2007-03-18T10:01:15,0.6686048053305674,0.9878132996907928,99.24738219895288,Landsat-7
2007-04-03 10:01:15,IW35016644,0.3387324796429836,2007-04-03T10:01:15,0.6900410655624793,0.9813787801617676,99.45205479452056,Landsat-7
2007-04-12 09:55:03,IW35016644,0.543929749885842,2007-04-12T09:55:03,0.7438918589416392,0.910307279318725,91.0136286201022,Landsat-7
